ENSG;ProtID;Symbol;
ENSG00000167004;P30101;PDIA3;
ENSG00000052749;Q5JTH9;RRP12;
ENSG00000211460;Q15631;TSN;
ENSG00000080608;Q15397;KIAA0020;
ENSG00000143947;P62979;RPS27A;
ENSG00000122299;Q8IWR0;ZC3H7A;
ENSG00000138095;P42704;LRPPRC;
ENSG00000114416;P51114;FXR1;
ENSG00000147649;Q86UE4;MTDH;
ENSG00000170144;P51991;HNRNPA3;
ENSG00000144029;P82675;MRPS5;
ENSG00000125743;P62316;SNRPD2;
ENSG00000132300;Q96EY7;PTCD3;
ENSG00000144028;O75643;SNRNP200;
ENSG00000110104;Q9H6F5;CCDC86;
ENSG00000130816;P26358;DNMT1;
ENSG00000161960;P60842;EIF4A1;
ENSG00000198000;Q76FK4;NOL8;
ENSG00000175416;P09497;CLTB;
ENSG00000149658;Q9BYJ9;YTHDF1;
ENSG00000135316;O60506;SYNCRIP;
ENSG00000089280;P35637;FUS;
ENSG00000132466;O75179;ANKRD17;
ENSG00000119711;Q02252;ALDH6A1;
ENSG00000187772;Q6ZN17;LIN28B;
ENSG00000117569;B4DSS8;PTBP2;
ENSG00000138095;P42704;LRPPRC;
ENSG00000116288;Q99497;PARK7;
ENSG00000126945;P55795;HNRNPH2;
ENSG00000187772;Q6ZN17;LIN28B;
ENSG00000204469;P48634;PRRC2A;
ENSG00000105321;Q9Y3X0;CCDC9;
ENSG00000105939;Q7Z2W4;ZC3HAV1;
ENSG00000115677;Q00341;HDLBP;
ENSG00000134644;Q5T1Z8;PUM1;
ENSG00000125944;O43390;HNRNPR;
ENSG00000144381;P10809;HSPD1;
ENSG00000115306;Q01082;SPTBN1;
ENSG00000181588;Q86XN8;MEX3D;
ENSG00000176624;Q5U5Q3;MEX3C;
ENSG00000115368;Q8IWA0;WDR75;
ENSG00000123908;Q9UKV8;AGO2;
ENSG00000099783;P52272;HNRNPM;
ENSG00000088205;Q9NVP1;DDX18;
ENSG00000108654;P17844;DDX5;
ENSG00000023191;P13489;RNH1;
ENSG00000196504;O75400;PRPF40A;
ENSG00000164587;P62263;RPS14;
ENSG00000152234;P25705;ATP5A1;
ENSG00000163694;A0AV96;RBM47;
ENSG00000055044;Q9Y2X3;NOP58;
ENSG00000184863;Q96EV2;RBM33;
ENSG00000100604;P10645;CHGA;
