gene_name;protein_id
SRSF11;Q05519|Q05519-2|Q5T760
MCM3;J3KQ69|P25205|P25205-2
ZC3H18;E7ERS3|Q86VM9
MDH2;P40926
RPS5;M0R0F0|M0R0R2|P46782
GDI2;P50395
URB2;Q14146
BRIX1;Q8TDN6
CSTF2T;Q9H0L4
DDX10;E9PIF2|Q13206
ZNF598;Q86UK7|Q86UK7-2|Q86UK7-3
NOL10;Q9BSC4|Q9BSC4-2
IMP4;H0Y714|Q96G21
U2AF1L5|U2AF1;P0DN76|Q01081|Q01081-2
DHX8;F5H658|Q14562
XRCC5;P13010
SSBP1;A0A0G2JLD8|E7EUY5|Q04837
BLMH;K7ES02|Q13867
NSA2;O95478
EZR;E7EQR4|P15311
PFN1;K7EJ44|P07737
HSP90AB1;P08238
LSM8;O95777
KRR1;Q13601
DYNC1H1;Q14204
DDX24;G3V529|Q9GZR7
TRIM28;Q13263|Q13263-2
RBM6;E9PGM9|P78332
MSN;P26038
NOLC1;Q14978-3
CCT2;P78371
ARHGDIB;F5H3P3|H0YGX7|P52566
PES1;B5MCF9|O00541|O00541-2
NOC2L;Q9Y3T9
BOP1;Q14137|Q14137-2
RPS9;A0A024R4M0|P46781
PARN;O95453|O95453-2|O95453-3
PRPF40A;O75400|O75400-2|O75400-3
TRA2A;Q13595|Q13595-3|Q13595-4
RYDEN;Q9NUL5|Q9NUL5-2
FARSA;K7ER00|Q9Y285
RPL8;P62917
RPS13;P62277
ALDOA;J3KPS3|P04075|P04075-2
EXOSC9;D6RIY6|Q06265|Q06265-2|Q06265-3|Q06265-4
RIDA|HRSP12;H0YB34|H0YBX3|P52758
SSB;P05455
FRG1;Q14331
TRAP1;Q12931|Q12931-2
RPS14;P62263
GP2;P55259|P55259-3
HSPA8;P11142
RPL32;D3YTB1|F8W727|P62910
ZC3H7A;Q8IWR0
LUC7L3;J3KPP4|O95232
HSPB1;P04792
PRDX2;P32119
RPS3A;P61247
LCP1;P13796
DIMT1;Q9UNQ2
WDR1;D6RD66|O75083
GAPDH;P04406
TBL3;Q12788
RPL11;P62913|P62913-2
H3F3A|H3F3B;B4DEB1|K7EK07|K7EMV3|K7ES00|P84243
MORC2;Q9Y6X9
NOA1;Q8NC60
RPS7;P62081
PGK1;P00558|P00558-2
NACA;E9PAV3|E9PAV3-2|F8VZJ2|F8W0W4|H0YHX9|Q13765
RPL34;P49207
NIFK;Q9BYG3
PPIF;P30405
RPS25;P62851
RPL23;P62829
RPL21;P46778
EEF1A1|EEF1A1P5;P68104|Q5VTE0
RPL10A;P62906
DSC1;Q08554|Q08554-2
HIST1H4A;P62805
METAP1;P53582
NMT1;P30419|P30419-2
RPL7A;P62424
DDX46;A0A0C4DG89|Q7L014
RPL37;D6RG19|P61927
SERPINB12;Q96P63|Q96P63-2
RRS1;Q15050
RPL22L1;C9JYQ9|H0Y8C2|Q6P5R6
RIOK1;Q9BRS2
UBA52;P62987
GAR1;Q9NY12|Q9NY12-2
TGM1;P22735
HSPA9;P38646
ABCE1;D6R9I9|P61221
DCD;P81605
HSD17B10;Q99714|Q99714-2
NOC4L;Q9BVI4
C9ORF114;Q5T280
DSG1;Q02413
HSP90AA1;P07900|P07900-2
RPS16;P62249
ENO1;P06733
RPLP0;F8VQY6|F8VRK7|F8VS58|F8VU65|F8VWS0|F8VZS0|G3V210|P05388|P05388-2
IDH2;P48735|P48735-2
GSDMA;J3KRG2|Q96QA5
LDHB;P07195
ATP5B;P06576
RPL29;P47914
REXO4;A0A0C4DG22|Q9GZR2
TKT;A0A0B4J1R6|P29401|P29401-2
TRIM25;Q14258
RSRC2;Q7L4I2|Q7L4I2-2
POF1B;Q8WVV4|Q8WVV4-1|Q8WVV4-3
TUFM;P49411
PDIA4;P13667
PDIA3;P30101
